name,new_price,old_price,discount,status,photo_link,link,positive_feedback
Ноутбук HP Pavilion 15-n018so-AMD A6-5200-2.0GHz-4Gb-DDR3-320Gb-HDD-W15.6-Touch-Web-DVD-R-AMD RadeonHD 8600-(B-)- Б/В,7135.0,7510.0,5.0,Закінчується,https://images.prom.ua/2823955406_w200_h200_noutbuk-hp-pavilion.jpg,https://prom.ua/p1323962753-noutbuk-pavilion-n018so.html,88
Ноутбук Lenovo IdeaPad G780-Intel Core-I7-3632QM-2.20GHz-4GB-DDR3-320Gb-HDD-W17.3-Web-DVD-R-NVIDIA GeForce GT635M(2Gb)-(B-)- Б/В,9044.0,9520.0,5.0,Закінчується,https://images.prom.ua/2871608128_w200_h200_noutbuk-lenovo-ideapad.jpg,https://prom.ua/p1339038561-noutbuk-lenovo-ideapad.html,88
"Ноутбук Dell Latitude E5440-Intel Core-i5-4300U-1,90GHz-4Gb-DDR3-500Gb-HDD-DVD-R-W14-Web-NVIDIA GeForce GT 720M-(B)- Б/В",8845.0,9310.0,5.0,Закінчується,https://images.prom.ua/2871601719_w200_h200_noutbuk-dell-latitude.jpg,https://prom.ua/p1339039603-noutbuk-dell-latitude.html,88
Ноутбук Dell Precision 7710-Intel Core i5-6300QH-2.3GHz-8Gb-DDR4-256Gb-SDD-W17.3IPS-FHD-AMD Radeon R9 M375X(4Gb)-(C)- Б/В,22002.0,23160.0,5.0,Закінчується,https://images.prom.ua/2872203858_w200_h200_noutbuk-dell-precision.jpg,https://prom.ua/p1339240578-noutbuk-dell-precision.html,88
"Ноутбук Lenovo IdeaPad Z50-70-Intel Core-i7-4510U-2.0GHz-4Gb-DDR3-320Gb-HDD-DVD-RW-W15,6-FHD-Web-NVIDIA GeForce 840M-(C-)- Б/В",7961.0,8380.0,5.0,Закінчується,https://images.prom.ua/2930912566_w200_h200_noutbuk-lenovo-ideapad.jpg,https://prom.ua/p1357683706-noutbuk-lenovo-ideapad.html,88
"Ноутбук Dell Latitude E5440-Intel Core-i5-4300U-1,90GHz-4Gb-DDR3-500Gb-HDD-W14-G-Web-NVIDIA GeForce GT 720M-(B)- Б/В",8940.0,9410.0,5.0,В наявності,https://images.prom.ua/2962613786_w200_h200_noutbuk-dell-latitude.jpg,https://prom.ua/p1366435861-noutbuk-dell-latitude.html,88
Ноутбук Dell Inspiron N7010-Intel Core i3-350M-2.27GHz-4Gb-DDR3-500Gb-HDD-Web-W17.3-Web-DVD-R-AMD Radeon HD 5470-(C)- Б/В,5605.0,5900.0,5.0,Закінчується,https://images.prom.ua/3196609616_w200_h200_noutbuk-dell-inspiron.jpg,https://prom.ua/p1438596989-noutbuk-dell-inspiron.html,88
"Ноутбук Medion MD98000-Intel C2D-T2300-1,66Hz-2Gb-DDR2-320Gb-HDD-W15.4-DVD-R-NVIDIA GeForce GF7400M-(C)- Б/В",2613.0,2750.0,5.0,Закінчується,https://images.prom.ua/3213466284_w200_h200_noutbuk-medion-md98000-intel.jpg,https://prom.ua/p1443670454-noutbuk-medion-md98000.html,88
Ноутбук Acer Aspire E1-572G-54208G1T-Core-i5-4200U-1.6GHz-4Gb-DDR3-500Gb-HDD-W15.6-Web-HD Radeon 8670M-(B)- Б/В,9158.0,9640.0,5.0,Закінчується,https://images.prom.ua/3298787076_w200_h200_noutbuk-acer-aspire.jpg,https://prom.ua/p1443710758-noutbuk-acer-aspire.html,88
"Ноутбук Fujitsu Celsius H720-Intel-Core i7-3720QM-2,6GHz-8Gb-DDR3-250Gb-SSD-W15.6-FHD-Web-NVIDIA Quadro K2000M-(C)- Б/В",10374.0,10920.0,5.0,Закінчується,https://images.prom.ua/3218192290_w200_h200_noutbuk-fujitsu-celsius.jpg,https://prom.ua/p1444916153-noutbuk-fujitsu-celsius.html,88
